SHOW COMMAND PALETTE,ctrl+shift+p
SHOW SEARCH,ctrl+shift+f
SHOW SOURCE CONTROL,ctrl+shift+g
SHOW DEBUG,ctrl+shift+d
SHOW EXTENSIONS,ctrl+shift+x
REPLACE IN FILES,ctrl+shift+h
TOGGLE SEARCH DETAILS,ctrl+shift+j
OPEN NEW COMMAND PROMPT TERMINAL,ctrl+shift+c
SHOW OUTPUT PANEL,ctrl+k ctrl+h
OPEN MARKDOWN PREVIEW,ctrl+shift+v
OPEN MARKDOWN PREVIEW TO THE SIDE,ctrl+k v
ZEN MODE,ctrl+k z
EXIT ZEN MODE,Escape Escape
FIND,ctrl+f
REPLACE,ctrl+h
FIND NEXT,F3
FIND PREVIOUS,shift+F3
SELECT ALL OCCURRENCES OF FIND MATCH,alt+Return
ADD SELECTION TO NEXT FIND MATCH,ctrl+d
MOVE LAST SELECTION TO NEXT FIND MATCH,ctrl+k ctrl+d
SHOW ALL SYMBOLS,ctrl+t
GO TO LINE,ctrl+g
GO TO FILE,ctrl+p
GO TO SYMBOL,ctrl+shift+o
SHOW PROBLEMS PANEL,ctrl+shift+m
GO TO NEXT ERROR OR WARNING,F8
GO TO PREVIOUS ERROR OR WARNING,shift+F8
NAVIGATE EDITOR GROUP HISTORY,ctrl+shift+Tab
GO BACK,ctrl+alt+minus
GO FORWARD,ctrl+shift+minus
TOGGLE TAB MOVES FOCUS,ctrl+m
CLOSE EDITOR,ctrl+w
CLOSE FOLDER,ctrl+k f
SPLIT EDITOR,ctrl+backslash
FOCUS INTO FIRST EDITOR GROUP,ctrl+1
FOCUS INTO SECOND EDITOR GROUP,ctrl+2
FOCUS INTO THIRD EDITOR GROUP,ctrl+3
FOCUS INTO PREVIOUS EDITOR GROUP,ctrl+k ctrl+Left
FOCUS INTO NEXT EDITOR GROUP,ctrl+k ctrl+Right
MOVE EDITOR LEFT,ctrl+shift+Page_Up
MOVE EDITOR RIGHT,ctrl+shift+Page_Down
MOVE ACTIVE EDITOR GROUP LEFT,ctrl+k Left
MOVE ACTIVE EDITOR GROUP UP,ctrl+k Left
MOVE ACTIVE EDITOR GROUP RIGHT,ctrl+k Right
MOVE ACTIVE EDITOR GROUP DOWN,ctrl+k Right
NEW FILE,ctrl+n
OPEN FILE,ctrl+o
SAVE,ctrl+s
SAVE AS,ctrl+shift+s
CLOSE,ctrl+w
CLOSE ALL,ctrl+k ctrl+w
REOPEN CLOSED EDITOR,ctrl+shift+t
KEEP PREVIEW MODE EDITOR OPEN,ctrl+k Return
OPEN NEXT,ctrl+Tab
OPEN PREVIOUS,ctrl+shift+Tab
COPY PATH OF ACTIVE FILE,ctrl+k p
REVEAL ACTIVE FILE IN EXPLORER,ctrl+k r
SHOW ACTIVE FILE IN NEW WINDOW INSTANCE,ctrl+k o
TOGGLE BREAKPOINT,F9
START,F5
CONTINUE,F5
STEP INTO,F11
STEP OUT,shift+F11
STEP OVER,F10
STOP,shift+F5
SHOW HOVER,ctrl+k ctrl+i
SHOW INTEGRATED TERMINAL,ctrl+grave
CREATE NEW TERMINAL,ctrl+shift+grave
COPY SELECTION,ctrl+shift+c
PASTE INTO ACTIVE TERMINAL,ctrl+shift+v
SCROLL UP,ctrl+shift+Up
SCROLL DOWN,ctrl+shift+Down
SCROLL PAGE UP,shift+Page_Up
SCROLL PAGE DOWN,shift+Page_Down
SCROLL TO TOP,shift+Home
SCROLL TO BOTTOM,shift+End
